""
"1","People raging over the culling of the Sin Ming fowl chickens but all I see is this:"
"2","Because, Malay."
"3","I'm currently helping my niece look for her candy that I ate yesterday."
"4","Haiyaaaa @xiaxue why you blocked us AGAIN?!?! What will happen to all the love we can give?!? Gahhh!!!"
"5","Mixed mak kau."
"6","WHAT. THE. FUCK. These people need Kong Hee's oil. Read: https://www.facebook.com/observerplus/photos/a.619806078230659.1073741828.616614085216525/619811484896785/?type=3&theater ..."
"7","Chinese peepur go to @coldplay, Malay peepur go to Cold Turkey."
"8","""Say no more fam."""
"9","What's worse than a break-up? Forgetting where you park your car in Suntec City."
"10","BREAKING.https://observer.news/2017/04/couple-assaulted-elderly-man-hawker-centre-identified-smrt-feedback/ ..."
"11","28km? That's exactly the distance from Boon Lay to Bedok which will take 5 hours of walking. https://observer.news/featured/teen-supports-sick-mom-walking-28km-daily-work ..."
"12","When you wanna be a Grammy star but mummy tells u to not forget your roots."
"13","It has been said in ancient scrolls that the wisest amongst men are those that have applied leave on Tuesday."
"14","Chinese privilege not that powerful."
"15","Fuck your @BTS_twt #BBMAs lah."
"16","May the 4th be...DIAM LAH SIAL."
"17","No big deal. There was one time I wanted to go to the US.The uncle brought me to Upper Serangoon.https://observer.news/world/dutch-teen-winds-wrong-sydney/ ..."
"18","Who the fuck cares really how celebrities react to the #ManchesterBombing?"
"19","Or step onto another train lah bodoh."
"20","Ramadan bazaar food does fucking sucks - for the most part."
"21","Plot twist."
"22","They call him, The Shadow aka Lil Swordy."
"23","Got house tour also."
"24","When you have enough of this bullshit."
"25","You have to give credit to the Malays. There's no one else who fast for for 8 hours yet still gain weight."
"26","Bastard sial SMRT."
"27","If a tree falls in a forest and no one is around to hear it, does it make a sound?"
"28","I was on Tinder last night and I came across this Thai chick profile. Her description:""Send me a dick pic and I'll send you one back."""
"29","When you run out of recipes to cook."
"30","Science builds planes and skyscrapers.But faith brings them together."
"31","Mah nigga."
"32","Empress Dowager has respond."
"33","Nice sial.https://observer.news/world/beautiful-library-world-clementinum-library/ ..."
"34","Feel-good story for this super cooling 22 degrees weather.https://observer.news/newsinbrief/kid-uses-hand-sleeping-mom-use-pillow-train/ ..."
"35","Lovely.https://observer.news/newsinbrief/19-year-old-chinese-student-worked-labourer-save-brother-leukemia/ ..."
"36","http://Circles.life  $20 discount promo code: UMBHY"
"37","""I wanna fly high up to heaven.""God: Say no more.https://observer.news/featured/australian-businessman-dies-parasailing-accident-phuket/ ..."
"38","Who the fuck is #EXIDinSG? And why are people fawning over a bunch of act-cute lamp posts?"
"39","So deaded u gaiz.https://observer.news/featured/k-pop-fans-want-beat-smrt-feedback-calling-k-pop-idol-lamp-posts/ ..."
"40","Unkerrr...gimme 1 teh tarik for me, and 1 milo bapak kau for my 1MDB friend."
"41","Lol @ ""troll him back""."
"42","Wise makcik."
"43","agent of influence: #warship #bangbang #fighterpilot #boomzinfluencer: #ootd #photooftheday #iwokeuplikethis #hehx"
"44","Please vote wisely.Please vote, Taufik Batisah."
"45","Goodbye. It's the only thing we remember of your presidency."
"46","Ahmad: Eh you Malay ah?Minah: No, I'm Javanese.KEPALA BUTO."
"47","Try tweeting to @presidentofsg and see her responses, lol."
"48","Lee Hsien Loong now has a Telegram account: https://t.me/leehsienloong SO many emojis but I only need one."
"49","I was lying in bed this morning. Told the wife I still love her."
"50","Our gang from across the causeway, Malaya Co just launched a bag collection. Suppork u gaiz!"
"51","#smartnation"
"52","Ewah ewah this makcik. Go chat with her at Facebook messenger (@presidentofsg)"
"53","Singaporean version of babies' toys."
"54","I identify myself as a tomato."
"55","Busted siak."
"56","I have absolutely no comeback to this."
"57","We definitely didn't."
"58","Iphone X-pensive."
"59","Ignore Tony Tan in this picture. The gurkha damn hot."
"60","Should have ssamyang flavoured. AWARE needs it. Their mouth need chilli."
"61","Mali kita lakyat singapura-sa ma samakkau peh laki."
"62","Happy deepavali Halimah Yacob!"
"63","No. Singaporeans must stand. Most of you have diabetes."
"64","The citizens can, just like how SMRT Feedback has been questioning @leehsienloong on why the fuck he had to increase cigarette prices."
"65","And being cosy with dictators? @javiersolana initiated NATO airstrikes on #Yugoslav and ignored calls for accountability and now he's in your board of directors. Yikes!"
"66","""What's the point of having fuck you money if you never say fuck you?"""
"67","And who the fuck is this Jolovan Wham guy"
"68","@SingaporePolice arrest us prease."
"69","Breastest"
"70","Don't support something or someone just because they scream ""MADE IN SINGAPORE"" or ""#SINGAPOREPRIDE"". Who gives a fuck? If the service/product is bad, call it like it is.Fuck your Singapore pride."
"71","Sending some love from Hacker city, Bucharest.  #vigilantehmafia"
"72","New vigilantehs in Romania, OGs in xinjiapor"
"73","You don't know how secure your house is until you forget your keys."
"74","Eh suaku. The bangla doing the hard trimming work. You take selfie tell PM u do trimming? U trim what? Your head ah? That one overtrimmed already. Don't angkat bola plz."
"75","It'd be so convenient if buttholes were self cleaning."
"76","Then we think it's okay."
